129.40000,155.18033,24080.93333,528.0000056.40000,5.05964,25.60000, 6,80,58540,ftp
129.40000,155.18033,24080.93333,528.0000056.40000,5.05964,25.60000, 6,80,58540,ftp
136.09091,127.89093,16356.09091,349.0000056.18182,4.85424,23.56364, 6,80,49691,ftp
137.54545,130.38356,16999.87273,349.0000056.18182,4.85424,23.56364, 6,80,49745,ftp
141.00000,138.55324,19197.00000,412.0000056.18182,4.85424,23.56364, 6,80,49888,ftp
593.31579,670.84027,450026.67251,1514.0000055.26316,3.78362,14.31579, 6,50053,80,ftp
572.05000,672.28287,451964.26053,1514.0000055.20000,3.69352,13.64211, 6,49874,80,ftp
140.84375,107.67397,11593.68448,354.0000067.75000,3.36011,11.29032, 6,80,46475,ftp
377.14894,561.79135,315609.52081,1514.0000055.95745,4.40335,19.38945, 6,80,50406,ftp
431.51724,589.48450,347491.97338,1514.0000055.79310,4.24991,18.06171, 6,80,50407,ftp
454.86047,603.45909,364162.87442,1514.0000055.90698,4.37003,19.09713, 6,80,50408,ftp
593.31579,670.84027,450026.67251,1514.0000055.26316,3.78362,14.31579, 6,50053,80,ftp
423.51020,583.96765,341018.21344,1514.0000056.36735,4.75523,22.61224, 6,80,50416,ftp
422.46341,612.47421,375124.65488,1514.0000056.24390,4.65178,21.63902, 6,80,58818,ftp
572.05000,672.28287,451964.26053,1514.0000055.20000,3.69352,13.64211, 6,49874,80,ftp
347.57407,508.49031,258562.40007,1514.0000055.92593,4.37770,19.16422, 6,50347,80,ftp
261.85714,351.13171,123293.47619,908.0000057.42857,5.85540,34.28571, 6,80,58228,ftp
154.00000,224.39251,50352.00000,612.0000058.00000,6.19677,38.40000, 6,80,58231,ftp
377.14894,561.79135,315609.52081,1514.0000055.95745,4.40335,19.38945, 6,80,50406,ftp
431.51724,589.48450,347491.97338,1514.0000055.79310,4.24991,18.06171, 6,80,50407,ftp
